"rules","support","confidence","coverage","lift","count"
"1693","{radius1=Medio,fractal_dimension3=[0.0871,0.207]} => {area1=[462,670)}",0.0984182776801406,1,0.0984182776801406,3.01058201058201,56
"1699","{radius1=Medio,concavity3=[0.331,1.25]} => {area1=[462,670)}",0.0826010544815466,1,0.0826010544815466,3.01058201058201,47
"1701","{radius1=Medio,compactness3=[0.282,1.06]} => {area1=[462,670)}",0.0913884007029877,1,0.0913884007029877,3.01058201058201,52
"1705","{radius1=Medio,texture3=[12,22.5)} => {area1=[462,670)}",0.133567662565905,1,0.133567662565905,3.01058201058201,76
"1707","{radius1=Medio,texture1=[20.7,39.3]} => {area1=[462,670)}",0.101933216168717,1,0.101933216168717,3.01058201058201,58
"1768","{radius1=Medio,compactness1=[0.0736,0.116)} => {perimeter1=[78.6,96.2)}",0.117750439367311,1,0.117750439367311,3.01058201058201,67
"1798","{radius1=Medio,smoothness1=[0.0893,0.102)} => {perimeter1=[78.6,96.2)}",0.0949033391915641,1,0.0949033391915641,3.01058201058201,54
"2725","{area1=[144,462),compactness1=[0.0736,0.116)} => {radius1=Bajo}",0.123022847100176,1,0.123022847100176,3.01058201058201,70
"2727","{perimeter1=[43.8,78.6),compactness1=[0.0736,0.116)} => {radius1=Bajo}",0.115992970123023,1,0.115992970123023,3.01058201058201,66
"3019","{area1=[144,462),symmetry1=[0.168,0.19)} => {radius1=Bajo}",0.101933216168717,1,0.101933216168717,3.01058201058201,58
"3412","{area1=[144,462),smoothness1=[0.0893,0.102)} => {radius1=Bajo}",0.107205623901582,1,0.107205623901582,3.01058201058201,61
"3414","{perimeter1=[43.8,78.6),smoothness1=[0.0893,0.102)} => {radius1=Bajo}",0.107205623901582,1,0.107205623901582,3.01058201058201,61
"3889","{concave_points1=[0,0.0241),radius3=[13.5,16.8)} => {area3=[553,862)}",0.117750439367311,1,0.117750439367311,3.01058201058201,67
